time=1661421748.4059618 Pos: [1.8525 0.     0.8775] angle 0
time=1661421748.4478493 Pos: [1.8925 0.     0.8775] angle 0
time=1661421748.490283 Pos: [1.9325 0.     0.8775] angle 0
time=1661421748.5327835 Pos: [1.9725 0.     0.8775] angle 0
time=1661421748.5751204 Pos: [2.0125 0.     0.8775] angle 0
time=1661421748.621858 Pos: [2.0525 0.     0.8775] angle 0
time=1661421748.664202 Pos: [2.0925 0.     0.8775] angle 0
time=1661421748.7071576 Pos: [2.1325 0.     0.8775] angle 0
time=1661421748.750807 Pos: [2.1725 0.     0.8775] angle 0
time=1661421748.7943277 Pos: [2.2125 0.     0.8775] angle 0
time=1661421748.8364952 Pos: [2.2525 0.     0.8775] angle 0
time=1661421748.8794398 Pos: [2.2925 0.     0.8775] angle 0
time=1661421748.9233916 Pos: [2.3325 0.     0.8775] angle 0
time=1661421748.9651434 Pos: [2.3725 0.     0.8775] angle 0
time=1661421749.0104315 Pos: [2.4125 0.     0.8775] angle 0
time=1661421749.0543962 Pos: [2.4525 0.     0.8775] angle 0
time=1661421749.0967045 Pos: [2.4925 0.     0.8775] angle 0
time=1661421749.1392403 Pos: [2.5325 0.     0.8775] angle 0
time=1661421749.1820655 Pos: [2.5725 0.     0.8775] angle 0
time=1661421749.223749 Pos: [2.6125 0.     0.8775] angle 0
time=1661421749.2675068 Pos: [2.6525 0.     0.8775] angle 0
time=1661421749.3139296 Pos: [2.6925 0.     0.8775] angle 0
time=1661421749.3567898 Pos: [2.7325 0.     0.8775] angle 0
time=1661421749.3989344 Pos: [2.7725 0.     0.8775] angle 0
time=1661421749.440821 Pos: [2.8125 0.     0.8775] angle 0
time=1661421749.484239 Pos: [2.8525 0.     0.8775] angle 0
time=1661421749.5275064 Pos: [2.8925 0.     0.8775] angle 0
time=1661421749.5708241 Pos: [2.9325 0.     0.8775] angle 0
time=1661421749.6144602 Pos: [2.9725 0.     0.8775] angle 0
time=1661421749.660522 Pos: [3.0125 0.     0.8775] angle 0
time=1661421749.7040064 Pos: [3.0525 0.     0.8775] angle 0
time=1661421749.7466247 Pos: [3.0925 0.     0.8775] angle 0
time=1661421749.790158 Pos: [3.1325 0.     0.8775] angle 0
time=1661421749.8341014 Pos: [3.1725 0.     0.8775] angle 0
time=1661421749.8771958 Pos: [3.2125 0.     0.8775] angle 0
time=1661421749.91957 Pos: [3.2525 0.     0.8775] angle 0
time=1661421749.961974 Pos: [3.2925 0.     0.8775] angle 0
time=1661421750.0079515 Pos: [3.3325 0.     0.8775] angle 0
time=1661421750.052465 Pos: [3.3725 0.     0.8775] angle 0
time=1661421750.095368 Pos: [3.4125 0.     0.8775] angle 0
time=1661421750.1378205 Pos: [3.4525 0.     0.8775] angle 0
time=1661421750.1825676 Pos: [3.4925 0.     0.8775] angle 0
time=1661421750.2262702 Pos: [3.5325 0.     0.8775] angle 0
time=1661421750.2684233 Pos: [3.5725 0.     0.8775] angle 0
time=1661421750.3134668 Pos: [3.6125 0.     0.8775] angle 0
time=1661421750.3595467 Pos: [3.6525 0.     0.8775] angle 0
time=1661421750.4031308 Pos: [3.6925 0.     0.8775] angle 0
time=1661421750.44443 Pos: [3.7325 0.     0.8775] angle 0
time=1661421750.488204 Pos: [3.7725 0.     0.8775] angle 0
time=1661421750.531486 Pos: [3.8125 0.     0.8775] angle 0
time=1661421750.5750854 Pos: [3.8525 0.     0.8775] angle 0
time=1661421750.618342 Pos: [3.8925 0.     0.8775] angle 0
time=1661421750.6602526 Pos: [3.9325 0.     0.8775] angle 0
time=1661421750.7063434 Pos: [3.9725 0.     0.8775] angle 0
time=1661421750.7493188 Pos: [4.0125 0.     0.8775] angle 0
time=1661421750.792738 Pos: [4.0525 0.     0.8775] angle 0
time=1661421750.8350875 Pos: [4.0925 0.     0.8775] angle 0
time=1661421750.8787022 Pos: [4.1325 0.     0.8775] angle 0
time=1661421750.92078 Pos: [4.1725 0.     0.8775] angle 0
time=1661421750.9628658 Pos: [4.2125 0.     0.8775] angle 0
time=1661421751.0075936 Pos: [4.2525 0.     0.8775] angle 0
time=1661421751.0498548 Pos: [4.2925 0.     0.8775] angle 0
time=1661421751.0915046 Pos: [4.3325 0.     0.8775] angle 0
time=1661421751.1350367 Pos: [4.3725 0.     0.8775] angle 0
time=1661421751.1775086 Pos: [4.4125 0.     0.8775] angle 0
time=1661421751.2198603 Pos: [4.4525 0.     0.8775] angle 0
time=1661421751.2626739 Pos: [4.4925 0.     0.8775] angle 0
time=1661421751.305767 Pos: [4.5325 0.     0.8775] angle 0
time=1661421751.3505583 Pos: [4.5725 0.     0.8775] angle 0
time=1661421751.3942516 Pos: [4.6125 0.     0.8775] angle 0
time=1661421751.437244 Pos: [4.6525 0.     0.8775] angle 0
time=1661421751.4790823 Pos: [4.6925 0.     0.8775] angle 0
time=1661421751.5209208 Pos: [4.7325 0.     0.8775] angle 0
time=1661421751.56402 Pos: [4.7725 0.     0.8775] angle 0
time=1661421751.6074777 Pos: [4.8125 0.     0.8775] angle 0
time=1661421751.6504574 Pos: [4.8525 0.     0.8775] angle 0
time=1661421751.6926537 Pos: [4.8925 0.     0.8775] angle 0
time=1661421751.747949 Pos: [4.9325 0.     0.8775] angle 0
time=1661421751.7953556 Pos: [4.9725 0.     0.8775] angle 0
time=1661421751.8380299 Pos: [5.0125 0.     0.8775] angle 0
time=1661421751.880206 Pos: [5.0525 0.     0.8775] angle 0
time=1661421751.9226038 Pos: [5.0925 0.     0.8775] angle 0
time=1661421751.9645195 Pos: [5.1325 0.     0.8775] angle 0
time=1661421752.0080552 Pos: [5.1725 0.     0.8775] angle 0
time=1661421752.0518956 Pos: [5.2125 0.     0.8775] angle 0
time=1661421752.0939245 Pos: [5.2525 0.     0.8775] angle 0
time=1661421752.1365511 Pos: [5.2925 0.     0.8775] angle 0
time=1661421752.1805212 Pos: [5.3325 0.     0.8775] angle 0
time=1661421752.222508 Pos: [5.3725 0.     0.8775] angle 0
time=1661421752.2646275 Pos: [5.4125 0.     0.8775] angle 0
time=1661421752.3065464 Pos: [5.4525 0.     0.8775] angle 0
time=1661421752.3505406 Pos: [5.4925 0.     0.8775] angle 0
time=1661421752.40107 Pos: [5.5325 0.     0.8775] angle 0
time=1661421752.4451756 Pos: [5.5725 0.     0.8775] angle 0
time=1661421752.4872675 Pos: [5.6125 0.     0.8775] angle 0
time=1661421752.5309637 Pos: [5.6525 0.     0.8775] angle 0
time=1661421752.5740016 Pos: [5.6925 0.     0.8775] angle 0
time=1661421752.6156797 Pos: [5.7325 0.     0.8775] angle 0
time=1661421752.658014 Pos: [5.7725 0.     0.8775] angle 0
time=1661421752.6999133 Pos: [5.8125 0.     0.8775] angle 0
time=1661421752.7415628 Pos: [5.8525 0.     0.8775] angle 0
time=1661421752.7845047 Pos: [5.8925 0.     0.8775] angle 0
time=1661421752.8325944 Pos: [5.9325 0.     0.8775] angle 0
time=1661421752.8770866 Pos: [5.9725 0.     0.8775] angle 0
time=1661421752.9224887 Pos: [6.0125 0.     0.8775] angle 0
time=1661421752.9671984 Pos: [6.0525 0.     0.8775] angle 0
time=1661421753.0125718 Pos: [6.0925 0.     0.8775] angle 0
time=1661421753.056397 Pos: [6.1325 0.     0.8775] angle 0
time=1661421753.1015031 Pos: [6.1725 0.     0.8775] angle 0
time=1661421753.1448116 Pos: [6.2125 0.     0.8775] angle 0
time=1661421753.1880932 Pos: [6.2525 0.     0.8775] angle 0
time=1661421753.2306323 Pos: [6.2925 0.     0.8775] angle 0
time=1661421753.2758791 Pos: [6.3325 0.     0.8775] angle 0
time=1661421753.319081 Pos: [6.3725 0.     0.8775] angle 0
time=1661421753.3620315 Pos: [6.4125 0.     0.8775] angle 0
time=1661421753.4074874 Pos: [6.4525 0.     0.8775] angle 0
time=1661421753.452196 Pos: [6.4925 0.     0.8775] angle 0
time=1661421753.4947853 Pos: [6.5325 0.     0.8775] angle 0
time=1661421753.539212 Pos: [6.5725 0.     0.8775] angle 0
time=1661421753.582254 Pos: [6.6125 0.     0.8775] angle 0
time=1661421753.6260629 Pos: [6.6525 0.     0.8775] angle 0
time=1661421753.6697767 Pos: [6.6925 0.     0.8775] angle 0
time=1661421753.7167416 Pos: [6.7325 0.     0.8775] angle 0
time=1661421753.7599316 Pos: [6.7725 0.     0.8775] angle 0
time=1661421753.804201 Pos: [6.8125 0.     0.8775] angle 0
time=1661421753.8583906 Pos: [6.8525 0.     0.8775] angle 0
time=1661421753.907155 Pos: [6.8925 0.     0.8775] angle 0
time=1661421753.9504182 Pos: [6.9325 0.     0.8775] angle 0
time=1661421753.9941177 Pos: [6.9725 0.     0.8775] angle 0
time=1661421754.0385137 Pos: [7.0125 0.     0.8775] angle 0
time=1661421754.0815816 Pos: [7.0525 0.     0.8775] angle 0
time=1661421754.1263676 Pos: [7.0925 0.     0.8775] angle 0
time=1661421754.1709933 Pos: [7.1325 0.     0.8775] angle 0
time=1661421754.2157016 Pos: [7.1725 0.     0.8775] angle 0
time=1661421754.2595246 Pos: [7.2125 0.     0.8775] angle 0
time=1661421754.3025413 Pos: [7.2525 0.     0.8775] angle 0
